Price,Prediction
46504.8,48871.5
46172.2,48366.5
47628.2,46703.6
48871.5,50081.0
48366.5,49314.5
46703.6,47137.2
50081.0,47596.6
49314.5,50473.9
47137.2,50595.2
47596.6,50562.1
50473.9,49405.5
50595.2,49195.2
50562.1,53631.5
49405.5,56496.0
49195.2,57210.3
53631.5,56882.9
56496.0,57794.8
57210.3,57291.5
56882.9,54765.9
57794.8,53730.9
57291.5,58935.1
54765.9,57171.7
53730.9,57573.2
58935.1,56308.8
57171.7,58714.3
57573.2,59717.6
56308.8,58083.4
58714.3,56955.3
59717.6,60367.8
58083.4,60089.1
56955.3,63597.9
60367.8,65508.2
60089.1,64398.6
63597.9,64134.5
65508.2,64806.7
64398.6,64932.6
64134.5,66904.4
64806.7,67527.9
64932.6,63273.2
66904.4,61483.9
67527.9,60974.3
63273.2,61412.6
61483.9,62918.5
60974.3,63221.7
61412.6,60915.3
62918.5,61309.6
63221.7,61840.1
60915.3,62242.8
61309.6,60582.5
61840.1,58438.1
62242.8,60310.8
60582.5,63067.0
58438.1,60866.5
60310.8,61312.5
63067.0,60690.3
60866.5,62210.2
61312.5,65979.1
60690.3,64278.5
62210.2,62056.3
65979.1,61527.5
64278.5,60861.1
62056.3,61672.5
61527.5,57345.8
60861.1,57380.1
61672.5,56015.9
57345.8,57477.3
57380.1,54687.7
56015.9,54942.5
57477.3,53914.7
54687.7,53783.9
54942.5,55323.2
53914.7,51469.3
53783.9,49227.3
55323.2,48200.1
51469.3,47666.9
49227.3,48146.0
48200.1,43823.3
47666.9,41536.8
48146.0,41022.3
43823.3,42172.6
41536.8,43203.4
41022.3,42686.8
42172.6,42819.9
43203.4,44869.2
42686.8,43551.6
42819.9,40651.3
44869.2,42870.6
43551.6,47238.7
40651.3,48306.7
42870.6,47282.8
47238.7,47748.0
48306.7,48130.6
47282.8,47077.5
47748.0,44949.5
48130.6,46062.3
47077.5,45161.9
44949.5,44842.8
46062.3,46385.6
45161.9,46061.4
44842.8,46779.6
46385.6,52672.1
46061.4,51768.6
46779.6,49918.4
52672.1,49999.0
51768.6,49274.3
49918.4,48819.4
49999.0,47130.4
49274.3,46992.7
48819.4,48777.4
47130.4,48897.1
46992.7,49064.3
48777.4,46831.6
48897.1,48994.5
49064.3,47714.7
46831.6,49539.7
48994.5,49254.5
47714.7,48875.8
49539.7,49324.0
49254.5,46755.9
48875.8,44723.8
49324.0,44691.6
46755.9,45996.3
44723.8,46991.3
44691.6,47081.5
45996.3,47809.1
46991.3,44403.4
47081.5,45564.3
47809.1,45593.8
44403.4,46284.3
45564.3,43792.8
45593.8,44614.2
46284.3,42795.4
43792.8,40867.2
44614.2,39736.9
42795.4,38130.3
40867.2,39168.4
39736.9,39878.3
38130.3,41553.7
39168.4,42203.4
39878.3,40001.4
41553.7,40003.2
42203.4,39452.0
40001.4,37276.6
40003.2,35391.1
39452.0,33824.8
37276.6,33603.3
35391.1,32298.9
33824.8,32131.4
33603.3,29793.8
32298.9,30837.2
32131.4,31785.4
29793.8,31518.6
30837.2,31394.0
31785.4,31840.5
31518.6,32820.7
31394.0,32728.1
31840.5,33113.0
32820.7,34227.7
32728.1,33510.6
33113.0,33797.4
34227.7,32866.3
33510.6,33867.8
33797.4,34225.6
32866.3,33687.8
33867.8,35298.2
34225.6,34742.8
33687.8,33813.4
35298.2,33543.6
34742.8,35026.9
33813.4,35834.7
33543.6,34475.9
35026.9,34678.5
35834.7,32243.4
34475.9,31594.0
34678.5,34665.8
32243.4,33674.3
31594.0,32496.4
34665.8,31692.0
33674.3,35595.8
32496.4,35513.4
31692.0,35749.4
35595.8,38052.0
35513.4,38336.0
35749.4,40156.1
38052.0,40529.4
38336.0,39022.9
40156.1,35467.5
40529.4,37314.6
39022.9,36649.4
35467.5,37332.2
37314.6,33382.9
36649.4,33578.0
37332.2,35815.4
33382.9,35520.0
33578.0,36851.3
35815.4,39187.3
35520.0,37555.8
36851.3,36687.6
39187.3,37298.6
37555.8,35652.8
36687.6,34584.6
37298.6,35662.5
35652.8,38417.3
34584.6,39249.2
35662.5,38378.3
38417.3,38750.6
39249.2,34679.7
38378.3,37448.3
38750.6,37297.4
34679.7,40717.2
37448.3,36720.5
37297.4,42897.3
40717.2,43541.3
36720.5,46426.4
42897.3,46708.8
43541.3,49839.8
46426.4,49704.6
46708.8,49384.2
49839.8,56695.7
49704.6,55848.9
49384.2,58238.3
56695.7,58840.1
55848.9,57337.2
58238.3,56405.4
58840.1,57441.3
57337.2,53741.5
56405.4,57169.8
57441.3,56603.8
53741.5,57807.1
57169.8,57720.3
56603.8,53560.8
57807.1,54841.4
57720.3,55036.5
53560.8,54020.5
54841.4,48963.6
55036.5,50088.9
54020.5,51143.6
48963.6,51729.5
50088.9,53820.2
51143.6,56483.2
51729.5,55646.1
53820.2,56207.1
56483.2,60041.9
55646.1,61379.7
56207.1,63216.0
60041.9,62980.4
61379.7,63540.9
63216.0,59863.8
62980.4,59978.7
63540.9,59748.4
59863.8,58118.7
59978.7,58077.4
59748.4,55948.7
58118.7,57996.3
58077.4,58993.4
55948.7,58199.9
57996.3,57059.9
58993.4,58977.3
58199.9,58718.3
57059.9,58763.7
58977.3,58771.3
58718.3,57616.2
58763.7,55765.2
58771.3,55862.9
57616.2,55036.1
55765.2,51322.3
55862.9,52325.4
55036.1,54452.5
51322.3,54158.3
52325.4,57383.8
54452.5,58093.4
54158.3,58088.0
57383.8,57656.0
58093.4,58913.5
58088.0,56889.7
57656.0,55791.3
58913.5,59113.7
56889.7,61195.3
55791.3,57265.1
59113.7,57799.5
61195.3,55851.9
57265.1,54879.0
57799.5,52311.0
55851.9,50982.3
54879.0,48855.6
52311.0,48792.5
50982.3,48428.0
48855.6,50395.1
48792.5,48424.2
48428.0,49595.5
50395.1,45164.0
48424.2,46136.7
49595.5,46345.6
45164.0,46928.5
46136.7,49697.5
46345.6,48911.2
46928.5,54111.8
49697.5,57433.8
48911.2,55923.7
54111.8,55906.6
57433.8,51582.2
55923.7,52079.2
55906.6,49169.7
51582.2,47936.3
52079.2,48643.4
49169.7,47168.7
47936.3,47371.7
48643.4,47990.7
47168.7,44836.0
47371.7,46508.6
47990.7,46395.7
44836.0,38852.9
46508.6,39256.6
46395.7,38297.6
38852.9,36982.1
39256.6,37646.8
38297.6,35485.2
36982.1,33515.7
37646.8,33108.1
35485.2,34283.1
33515.7,34301.8
33108.1,33374.8
34283.1,30404.0
34301.8,32502.1
33374.8,32252.3
30404.0,32241.3
32502.1,32088.9
32252.3,33000.5
32241.3,30842.1
32088.9,35476.3
33000.5,36002.9
30842.1,36613.2
35476.3,35839.6
36002.9,36019.5
36613.2,36845.8
35839.6,39175.7
36019.5,37382.2
36845.8,34076.1
39175.7,35544.3
37382.2,38192.2
34076.1,40151.9
35544.3,40599.3
38192.2,39460.2
40151.9,36793.2
40599.3,33991.5
39460.2,32022.6
36793.2,32958.9
33991.5,32193.3
32022.6,29359.9
32958.9,28949.4
32193.3,28868.7
29359.9,27376.0
28949.4,27057.8
28868.7,26261.3
27376.0,26454.4
27057.8,24689.6
26261.3,23736.5
26454.4,23257.9
24689.6,23823.2
23736.5,22728.5
23257.9,23474.9
23823.2,23844.0
22728.5,23127.9
23474.9,22825.4
23844.0,21352.2
23127.9,19434.9
22825.4,19273.8
21352.2,19176.8
19434.9,18808.9
19273.8,18023.6
19176.8,18247.2
18808.9,18546.0
18023.6,18326.6
18247.2,19170.7
18546.0,19379.9
18326.6,19146.5
19170.7,18658.1
19379.9,19433.3
19146.5,19218.8
18658.1,18770.7
19433.3,19698.1
19218.8,18185.5
18770.7,17730.7
19698.1,17127.1
18185.5,17162.0
17730.7,18723.0
17127.1,19152.6
17162.0,18379.6
18723.0,18412.9
19152.6,18687.2
18379.6,18675.2
18412.9,17803.5
18687.2,17774.6
18675.2,17662.3
17803.5,16715.8
17774.6,15953.0
17662.3,16071.0
16715.8,16324.2
15953.0,16294.7
16071.0,15695.8
16324.2,15303.6
16294.7,15327.2
15695.8,15483.7
15303.6,14828.4
15327.2,15577.9
15483.7,15587.1
14828.4,14145.6
15577.9,14019.9
15587.1,13561.4
14145.6,13759.4
14019.9,13797.3
13561.4,13559.9
13759.4,13457.2
13797.3,13278.9
13559.9,13657.8
13457.2,13061.6
13278.9,13032.2
13657.8,13117.2
13061.6,12934.1
13032.2,12974.6
13117.2,12808.7
12934.1,11913.5
12974.6,11753.4
12808.7,11506.9
11913.5,11362.1
11753.4,11322.0
11506.9,11503.0
11362.1,11420.4
11322.0,11423.8
11503.0,11533.9
11420.4,11371.0
11423.8,11298.4
11533.9,11054.2
11371.0,10924.1
11298.4,10670.9
11054.2,10602.6
10924.1,10789.5
10670.9,10672.9
10602.6,10544.2
10789.5,10572.3
10672.9,10620.5
10544.2,10776.1
10572.3,10840.9
10620.5,10693.2
10776.1,10776.2
10840.9,10727.9
10693.2,10688.8
10776.2,10739.4
10727.9,10237.3
10688.8,10531.5
10739.4,10416.8
10237.3,10921.5
10531.5,11081.8
10416.8,10933.0
10921.5,10941.3
11081.8,10949.5
10933.0,10785.3
10941.3,10675.3
10949.5,10326.0
10785.3,10441.9
10675.3,10390.2
10326.0,10339.7
10441.9,10224.6
10390.2,10126.6
10339.7,10376.9
10224.6,10296.4
10126.6,10092.2
10376.9,10472.5
10296.4,10168.8
10092.2,11413.3
10472.5,11914.9
10168.8,11644.2
11413.3,11702.0
11914.9,11468.1
11644.2,11527.4
11702.0,11327.4
11468.1,11462.3
11527.4,11324.8
11327.4,11753.5
11462.3,11641.6
11324.8,11661.3
11753.5,11529.2
11641.6,11856.9
11661.3,11750.2
11529.2,11947.6
11856.9,12282.6
11750.2,11899.0
11947.6,11845.3
12282.6,11750.8
11899.0,11770.9
11845.3,11557.2
11750.8,11390.4
11770.9,11889.2
11557.2,11681.2
11390.4,11764.3
11889.2,11592.0
11681.2,11757.1
11764.3,11735.1
11592.0,11184.7
11757.1,11224.4
11735.1,11066.8
11184.7,11803.1
11224.4,11333.4
11066.8,11096.2
11803.1,11105.9
11333.4,10908.5
11096.2,11022.8
11105.9,9932.5
10908.5,9704.1
11022.8,9546.4
9932.5,9599.6
9704.1,9513.7
9546.4,9387.3
9599.6,9162.4
9513.7,9208.0
9387.3,9170.2
9162.4,9155.8
9208.0,9135.3
9170.2,9198.7
9155.8,9253.4
9135.3,9243.6
9198.7,9300.8
9253.4,9233.3
9243.6,9285.1
9300.8,9235.7
9233.3,9429.9
9285.1,9256.0
9235.7,9339.0
9429.9,9081.0
9256.0,9134.4
9339.0,9067.1
9081.0,9085.1
9134.4,9229.9
9067.1,9135.4
9085.1,9185.4
9229.9,9124.0
9135.4,9008.3
9185.4,9160.0
9124.0,9247.5
9008.3,9302.0
9160.0,9624.6
9247.5,9683.7
9302.0,9296.4
9624.6,9358.8
9683.7,9314.0
9296.4,9388.1
9358.8,9464.6
9314.0,9523.5
9388.1,9425.4
9464.6,9345.3
9523.5,9471.3
9425.4,9466.6
9345.3,9283.2
9471.3,9878.8
9466.6,9768.8
9283.2,9777.9
9878.8,9742.6
9768.8,9669.6
9777.9,9631.2
9742.6,9794.4
9669.6,9667.2
9631.2,9527.6
9794.4,10189.3
9667.2,9454.8
9527.6,9692.5
10189.3,9424.8
9454.8,9572.2
9692.5,9199.1
9424.8,8842.5
9572.2,8898.2
9199.1,8728.2
8842.5,9177.0
8898.2,9169.7
8728.2,9059.0
9177.0,9512.3
9169.7,9773.3
9059.0,9730.7
9512.3,9677.7
9773.3,9379.5
9730.7,9318.0
9677.7,9778.4
9379.5,9298.7
9318.0,8813.8
9778.4,8579.8
9298.7,8738.8
8813.8,9554.6
8579.8,9806.2
8738.8,9979.8
9554.6,9151.4
9806.2,9001.0
9979.8,8874.7
9151.4,8885.5
9001.0,8966.3
8874.7,8821.6
8885.5,8629.0
8966.3,8770.9
8821.6,7746.9
8629.0,7766.0
8770.9,7678.9
7746.9,7540.4
7766.0,7503.8
7678.9,7488.5
7540.4,7112.9
7503.8,6842.5
7488.5,6833.5
7112.9,7122.9
6842.5,7230.8
6833.5,7035.8
7122.9,7085.6
7230.8,6629.1
7035.8,6850.9
7085.6,6841.3
6629.1,6917.6
6850.9,6867.8
6841.3,6863.1
6917.6,7289.0
6867.8,7361.2
6863.1,7185.2
7289.0,7332.3
7361.2,6772.7
7185.2,6857.4
7332.3,6735.9
6772.7,6800.5
6857.4,6638.5
6735.9,6412.5
6800.5,6391.0
6638.5,5890.4
6412.5,6233.7
6391.0,6373.4
5890.4,6725.1
6233.7,6678.9
6373.4,6744.6
6725.1,6468.9
6678.9,5822.1
6744.6,6186.2
6468.9,6205.3
5822.1,6172.0
6186.2,5361.4
6205.3,5261.1
6172.0,5030.0
5361.4,5366.3
5261.1,5182.7
5030.0,5584.3
5366.3,4826.0
5182.7,7935.1
5584.3,7891.2
4826.0,7933.0
7935.1,8034.1
7891.2,8887.8
7933.0,9134.8
8034.1,9060.3
8887.8,8757.9
9134.8,8761.4
9060.3,8904.8
8757.9,8540.0
8761.4,8543.7
8904.8,8697.5
8540.0,8818.6
8543.7,8800.3
8697.5,9317.2
8818.6,9662.7
8800.3,9942.7
9317.2,9655.7
9662.7,9684.5
9942.7,9602.4
9655.7,9609.4
9684.5,10158.4
9602.4,9701.4
9609.4,9932.3
10158.4,9907.7
9701.4,10333.0
9932.3,10235.1
9907.7,10317.7
10333.0,10229.5
10235.1,9854.1
10317.7,10151.5
10229.5,9895.5
9854.1,9818.6
10151.5,9772.0
9895.5,9611.8
9818.6,9193.9
9772.0,9296.6
9611.8,9334.9
9193.9,9381.6
9296.6,9349.1
9334.9,9507.3
9381.6,9298.9
9349.1,9377.3
9507.3,8866.6
9298.9,8607.8
9377.3,8341.6
8866.6,8439.9
8607.8,8405.1
8341.6,8678.5
8439.9,8732.6
8405.1,8641.9
8678.5,8706.2
8732.6,8916.3
8641.9,8913.1
8706.2,8726.9
8916.3,8818.3
8913.1,8829.2
8726.9,8111.4
8818.3,8187.6
8829.2,8024.1
8111.4,8187.1
